志愿者编号,开始时间,结束时间,活动地点,参与内容,群众评价,投诉记录,服务评价
v0001,2023/8/8 8:00,2023/8/8 10:00,阿房宫南地铁站,乘客引导,,表达问题,
v0002,2012/3/24 21:00,2012/3/24 23:00,阿房宫南地铁站,老弱人员帮扶,,无,
v0003,2013/7/9 20:00,2013/7/9 22:00,阿房宫南地铁站,失物招领,,无,
v0004,2016/1/17 17:00,2016/1/17 20:00,阿房宫南地铁站,信息提供,,无,
v0005,2021/12/8 15:00,2021/12/8 19:00,阿房宫南地铁站,乘客引导,,态度问题,
v0006,2018/10/17 16:00,2018/10/17 20:00,阿房宫南地铁站,老弱人员帮扶,,无,
v0007,2007/2/6 6:00,2007/2/6 10:00,阿房宫南地铁站,失物招领,,无,
v0008,2011/7/4 10:00,2011/7/4 14:00,阿房宫南地铁站,信息提供,,无,
v0001,2003/12/13 11:00,2003/12/13 17:00,阿房宫南地铁站,乘客引导,,无,
v0002,2007/9/13 17:00,2007/9/13 22:00,钟楼地铁站,老弱人员帮扶,,无,
v0003,2022/10/9 10:00,2022/10/9 16:00,钟楼地铁站,失物招领,,态度问题,
v0004,2008/12/30 18:00,2008/12/30 22:00,钟楼地铁站,信息提供,,无,
v0005,2006/7/20 10:00,2006/7/20 19:00,钟楼地铁站,乘客引导,,无,
v0006,2013/3/26 17:00,2013/3/26 20:00,钟楼地铁站,老弱人员帮扶,,无,
v0007,2003/4/5 10:00,2003/4/5 19:00,钟楼地铁站,失物招领,,无,
v0008,2013/12/17 17:00,2013/12/17 22:00,钟楼地铁站,信息提供,,无,
