工号,岗位,工作地点,值班开始时间,值班结束时间,群众评价,投诉记录,紧急事件处理,服务评价
t0001,站务员,阿房宫南地铁站,2022/10/1 10:00,2022/10/1 12:00,,无,优秀,
t0006,售票员,阿房宫南地铁站,2022/12/14 8:00,2022/12/14 18:00,,无,良好,
t0009,安检员,阿房宫南地铁站,2022/11/8 17:00,2022/11/8 22:00,,无,合格,
t0011,安全员,阿房宫南地铁站,2022/10/17 20:00,44852,,无,不合格,
t0015,紧急响应人员,阿房宫南地铁站,2022/4/7 5:00,2022/4/7 12:00,,无,优秀,
t0021,站台管理员,阿房宫南地铁站,2022/12/2 13:00,2022/12/2 18:00,,无,良好,
t0027,信息员,阿房宫南地铁站,2022/3/26 8:00,2022/3/26 12:00,,无,合格,
t0001,站务员,钟楼地铁站,2022/5/10 16:00,2022/5/10 22:00,,无,不合格,
t0006,售票员,钟楼地铁站,2022/10/4 6:00,2022/10/4 10:00,,无,优秀,
t0009,安检员,钟楼地铁站,2023/6/27 8:00,2023/6/27 12:00,,无,良好,
t0011,安全员,钟楼地铁站,2022/4/16 13:00,2022/4/16 19:00,,无,合格,
t0015,紧急响应人员,钟楼地铁站,2022/12/11 17:00,2022/12/11 22:00,,无,不合格,
t0021,站台管理员,钟楼地铁站,2022/9/19 15:00,2022/9/19 21:00,,无,优秀,
t0027,信息员,钟楼地铁站,2023/6/21 16:00,2023/6/21 23:00,,无,良好,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
